,DayOfYear,DayOfMonth,DayOfWeek,Year,Month,Hour,volume,temp,rain_1h,sun_1h,snow_1h,is_holiday
DayOfYear,1.0,0.09060384966645921,0.002611048286538062,0.017218115393294195,0.9967048201770909,-5.600291096221173e-05,-0.0023036205659051367,0.15333862524308914,0.004836103269798137,-0.034758285492257464,-0.003985155326656271,-0.0010317692896964568
DayOfMonth,0.09060384966645921,1.0,-0.00035499738476715706,0.0005676728315090402,0.00981838379952191,8.053827889283936e-05,-0.0030663728666189046,0.01527742419750402,-0.0019388516164541205,0.010520079510052377,-0.007466290504872704,-0.06181014207097571
DayOfWeek,0.002611048286538062,-0.00035499738476715706,1.0,-0.0018404741004090248,0.0026586667822197964,9.636421062044807e-05,0.043801628693762015,-0.0008506647569049757,0.0013981274043852751,-0.0008882481794443558,0.004718343786096535,-0.04450596644148482
Year,0.017218115393294195,0.0005676728315090402,-0.0018404741004090248,1.0,0.017562660230082433,-7.41781735390264e-05,0.018835974430749487,0.08818376234620572,0.010818996977547811,-0.0018500250744494455,-0.0213616342276321,-0.004410196143506913
Month,0.9967048201770909,0.00981838379952191,0.0026586667822197964,0.017562660230082433,1.0,-6.221331424929123e-05,-0.0019054375404331122,0.1552035264395483,0.005095256530158882,-0.03472935784449955,-0.0034672829233595515,0.0041980030246394386
Hour,-5.600291096221173e-05,8.053827889283936e-05,9.636421062044807e-05,-7.41781735390264e-05,-6.221331424929123e-05,1.0,0.29414511170243685,0.1226707790108893,0.02438348561638255,0.02026279788089111,0.008100878430956854,-1.309715915099831e-05
volume,-0.0023036205659051367,-0.0030663728666189046,0.043801628693762015,0.018835974430749487,-0.0019054375404331122,0.29414511170243685,1.0,0.23599510538658117,-0.01548060079624234,0.37863160107471044,0.0023613354199488886,-0.018665892886582342
temp,0.15333862524308914,0.01527742419750402,-0.0008506647569049757,0.08818376234620572,0.1552035264395483,0.1226707790108893,0.23599510538658117,1.0,-0.005970972753910389,0.4177331578118727,-0.008288881319699333,-0.023789727271836283
rain_1h,0.004836103269798137,-0.0019388516164541205,0.0013981274043852751,0.010818996977547811,0.005095256530158882,0.02438348561638255,-0.01548060079624234,-0.005970972753910389,1.0,-0.10508820625896399,0.007352890684449818,-0.008837433057994148
sun_1h,-0.034758285492257464,0.010520079510052377,-0.0008882481794443558,-0.0018500250744494455,-0.03472935784449955,0.02026279788089111,0.37863160107471044,0.4177331578118727,-0.10508820625896399,1.0,-0.00529696932470572,0.002647428921182665
snow_1h,-0.003985155326656271,-0.007466290504872704,0.004718343786096535,-0.0213616342276321,-0.0034672829233595515,0.008100878430956854,0.0023613354199488886,-0.008288881319699333,0.007352890684449818,-0.00529696932470572,1.0,-0.003314248304846066
is_holiday,-0.0010317692896964568,-0.06181014207097571,-0.04450596644148482,-0.004410196143506913,0.0041980030246394386,-1.309715915099831e-05,-0.018665892886582342,-0.023789727271836283,-0.008837433057994148,0.002647428921182665,-0.003314248304846066,1.0
